$combined_keywords$Category_bin
10$;is our fascination with museum displays more about what we think or how we feel?;what is the cognitive and emotional nature of fascination? drawing on theories of cognitive and emotional interest, we explored the nature of visitor fascination (i.e., intense interest) at two high north museums in norway. in study 1, we found interesting and informative patterns related to which museum displays 20 teenage visitors experienced as particularly fascinating and why, along with the cognitive and affective qualities associated with those fascinations. we pursued these findings in more detail with 60 new visitors in study 2. through path modeling we were then able to capture the dynamics of when each of the following variables mattered to museum display experiences and in what ways: (1) display-relevant prior knowledge and interest, (2) the cognitive accessibility and emotional pleasure of museum display experiences, and (3) cognitive and affective interest outcomes. implications for theories of interest and future research for exhibit design are discussed. © visitor studies association.$0
11$";infrastructural arrangements for integrated care: implementing an electronic nursing plan in a psychogeriatric ward;purpose: the paper contributes to the conceptualisation of ""integrated care"" in heterogeneous work practices. a dynamic perspective is developed, emphasising how integrated care is malleable, open, and achieved in practice. furthermore, we explore the role of nursing plans in integrated care practices, underscoring the inherent difficulties of building one common infrastructural system for integrated care. methods: empirically, we studied the implementation of an electronic nursing plan in a psychiatric ward at the university hospital of north norway. we conducted 80 hours of participant observation and 15 interviews. results: while the nursing plan was successful as a formal tool among the nurses, it was of limited use in practice where integrated care was carried out. in some instances, the use of the nursing plan even undermined integrated care. conclusion: integrated care is not a constant entity, but is much more situated and temporal in character. a new infrastructural system for integrated care should not be envisioned as replacing most of the existing information sources, but rather seen as an extension to the heterogeneous ensemble of existing ones."$1
12$;the experiences of using a computerized decision support system;the aim was to describe the facilitators and barriers influencing the ability of nursing personnel to effectively use a cdss for planning and treating pressure ulcers and malnutrition in nursing homes. usability evaluations and group interviews were conducted. facilitators were ease of use, usefulness and a supportive work environment. lack of training, resistance to using computers and limited integration of the cdss with the electronic health record system were reported.$1
13$";is there a weekly pattern for health searches on wikipedia and is the pattern unique to health topics?;background: online health information-seeking behaviors have been reported to be more common at the beginning of the workweek. this behavior pattern has been interpreted as a kind of ""healthy new start"" or ""fresh start"" due to regrets or attempts to compensate for unhealthy behavior or poor choices made during the weekend. however, the observations regarding the most common health information-seeking day were based only on the analyses of users' behaviors with websites on health or on online health-related searches. we wanted to confirm if this pattern could be found in searches of wikipedia on health-related topics and also if this search pattern was unique to health-related topics or if it could represent a more general pattern of online information searching-which could be of relevance even beyond the health sector. objective: the aim was to examine the degree to which the search pattern described previously was specific to health-related information seeking or whether similar patterns could be found in other types of information-seeking behavior. methods: we extracted the number of searches performed on wikipedia in the norwegian language for 911 days for the most common sexually transmitted diseases (chlamydia, gonorrhea, herpes, human immunodeficiency virus [hiv], and acquired immune deficiency syndrome [aids]), other health-related topics (influenza, diabetes, and menopause), and 2 nonhealth-related topics (footballer lionel messi and pop singer justin bieber). the search dates were classified according to the day of the week and anova tests were used to compare the average number of hits per day of the week. results: the anova tests showed that the sexually transmitted disease queries had their highest peaks on tuesdays (p<.001) and the fewest searches on saturdays. the other health topics also showed a weekly pattern, with the highest peaks early in the week and lower numbers on saturdays (p<.001). footballer lionel messi had the highest mean number of hits on tuesdays and wednesdays, whereas pop singer justin bieber had the most hits on tuesdays. both these tracked search queries also showed significantly lower numbers on saturdays (p<.001). conclusions: our study supports prior studies finding an increase in health information searching at the beginning of the workweek. however, we also found a similar pattern for 2 randomly chosen nonhealth-related terms, which may suggest that the search pattern is not unique to health-related searches. the results are potentially relevant beyond the field of health and our preliminary findings need to be further explored in future studies involving a broader range of nonhealth-related searches."$0
14$;weekly pattern for online information seeking on hiv - a multi-language study;studies have demonstrated that there are weekly patterns of information-seeking activities on sexual health topics in some selected languages. however, it is not known if this weekly pattern is found across the ten most commonly-used languages on the internet, and whether international public events might have an impact on these information-seeking patterns. the objective of this study is to examine sexual health information-seeking patterns for searches performed in several languages, and also to analyze the potential impact of public events on these information-seeking rates. we extracted the number of hits on the hiv article on wikipedia for the ten most used languages on the internet for all of the year 2015. the results confirm the existence of a weekly pattern for the searches performed in english, spanish, portuguese, japanese, russian, french, and german. but the weekly pattern was not found for searches in mandarin chinese, arabic, and malay. the number of hiv queries increased significantly during two public events, the world aids day, and the announcement regarding the hiv-positive condition of the celebrity actor charlie sheen. the existence of higher peaks in searching rates at the beginning of the week for some languages, and the increase in queries related to public events could represent valuable opportunities for public campaigns promoting sexual health.$0
15$";service users' perspectives in the design of an online tool for assisted self-help in mental health: a case study of implications;background: the involvement of persons with lived experiences of mental illness and service use is increasingly viewed as key to improving the relevance and utility of mental health research and service innovation. guided by the principles of community-based participatory research we developed an online tool for assisted self-help in mental health. the resulting tool, psyconnect, is ready for testing in two communities starting 2014. this case study reports from the design phase which entailed clarifying very basic questions: who is the primary target group? what are the aims? what functions are priorities? roles and responsibilities? what types of evidence can legitimize tool design decisions? here we highlight the views of service users as a basis for discussing implications of user involvement for service design and research. case description: psyconnect has become a tool for those who expect to need assistance over long periods of time regardless of their specific condition(s). the aim is to support service users in gaining greater overview and control, legitimacy, and sense of continuity in relationships. it has a personalized ""my control panel"" which depicts status --> process --> goals. functionality includes support for: mapping life domains; medication overview; crisis management; coping exercises; secure messaging; and social support. while the types of evidence that can legitimize design decisions are scattered and indirectly relevant, recent trends in recovery research will be used to guide further refinements. discussion: psyconnect has undoubtedly become something other than it would have been without careful attention to the views of service users. the tool invites a proactive approach that is likely to challenge treatment cultures that are reactive, disorder-focused and consultation-based. service user representatives will need to play central roles in training peers and clinicians in order to increase the likelihood of tool usage in line with intentions. similarly, their influence on tool design has implications for choice of methods for evaluation. conclusions: starting down the path of service user involvement in intervention design fosters commitment to follow through in the remaining implementation and research phases. while this can be time-consuming and less meriting for researchers, it is probably vital to increasing the likelihood of success of person-centered service innovations."$1
16$;software developers in india and norway: professional or national cultures?;in this paper, the authors investigate the professional practices of software developers from two different cultures-norway and india. the authors examine if systematic differences exist between norwegian and indian software developers in their professional practice. using hofstede's cultural dimensions, the authors expected to find cultural differences between the two groups of professionals. building on a survey among software developers in the two countries, the authors have the following conclusions. firstly, the main finding is that there are surprisingly few differences between the two groups, giving support to the view of a common professional culture. secondly, the few differences that are observed cannot easily be explained by hofstede's cultural dimensions. © 2013 by igi global. all rights reserved.$0
17$;automatic configuration of mobile applications using context-aware cloud-based services;the area of information technology continues to experience considerable progress and innovation in recent years. computers have evolved from large and very expensive devices, to mainstream products we take for granted in our everyday lives. increasingly, cloud-based services have come to the fore. additionally, many people own multiple computing devices, from normal desktop computers to small mobile devices. we find mobile computing devices of particularly interest and this will be the focus of our study. in this chapter, we investigate a context-aware and cloud-based adaptation of mobile devices and user's experience. our research displays new and novel contribution to the area of context-awareness in the cloud setup. we propose and demonstrated principles in implemented applications, whereby context-aware information is harvested from several dimensions to build a rich foundation for context-aware computation. furthermore, we have exploited and combined this with the area of cloud computing technology to create a new user experience and a new way to invoke control over user's mobile phone. through a developed application suite with the following evaluation, we have shown the feasibility of such an approach. moreover, we believe our research, incorporating remote, and automatically configuration of android phone advances the research area of context-aware information. © 2015 springer international publishing switzerland.$0
18$;to bend or not to bend? rule adherence among staff at an eating disorder unit;on inpatient eating disorder units, resolving under-nutrition and reestablishing normal eating behavior are key treatment aims. consequently, the provision of support at mealtimes is a core work task for patients with severe eating disorders. the purpose of this study was to explore staff deliberations and actions, as observed during staff-patient interactions at mealtimes on an inpatient eating disorder unit (edu). we specifically aimed to characterize how and why staff members intervene during staff-patient interactions in which a refeeding script is activated. this exploratory qualitative study combined non-participant observation and in-depth interviews. content analysis was used to categorize and abstract the data material. through the described analysis, we identified two main types of patterns which were categorized as rule adherence and rule bending, describing how staff chose how to intervene in situations where refeeding scripts were activated. the current findings may contribute to enhanced insight and awareness regarding staff behavior and deliberations when providing meal support, and thus help staff members to better understand how meal time support is practiced on inpatient edus.$0
19$;un/doing gender with ict?;what might new information and communication technologies (icts) at work do for gender? this question is explored here through an empirical study that traces the introduction of one ict application-an electronic patient record (epr)-into nursing and medical work in a university hospital in norway. health care work is well documented as a highly gendered field, where normalizing gender practices have dominated. the aim of this article is to explore emergent configurations of gender, ict, and health care work following the introduction of the epr. drawing on judith butler's conceptualization of performativity, where gender is produced only as it is cited in everyday practice, we pay attention to both the normative and the disruptive moments of these configurations. in order to understand gender in modern health care we suggest an analysis of the performative co-constitution of gender, technology, and work as it is done on a daily basis at the hospital. we explore the gender effects of this co-constitution, also as gender norms are challenged and new ways of performing professional identities in health care are moved beyond the familiar categories of the past. © 2010 taylor & francis.$0
20$;experiences of nursing personnel using pdas in home health care services in norwegian municipalities;although nursing personnel have used personal digital assistants (pdas) to support home health care services for the past ten years, little is known about their experiences. this study was conducted to examine experiences of nursing personnel using a specialized home health care computer software application called gerica. in addition, this research analyzed how well this application aligned with the workflow of the nursing personnel in their daily care of patients. the evaluation methods included user observations and learnability testing. nursing personnel from two different municipalities were observed while performing real tasks in natural settings. this study shows that the nursing personnel were satisfied with the pda user interface and the gerica software; however, they identified areas for improvement. for example, the nursing personnel were concerned about trusting the reliability of the pda in order to eliminate the need for handwritten documentation. solutions to meet these shortcomings for nursing managers and vendors are discussed.$1
21$;complexity and risk;as said in the introduction, an important motivation for the research presented in this book is ulrich beck's development of the theory of the (world) risk society and the research that this theory has inspired or at least influenced heavily. accordingly, this theory, and its more mature and general version, the theory of reflexive modernization, will be presented in the first section of this chapter. in parallel with the development of these theories, the 'complexity science' field has emerged. as this book focuses on risks related to complexity, an overview of this field will also be given. in the following sections we will inquire deeper into the relations between these theories, arguing that they have a common core. © ole hanseth and claudio ciborra, 2007. all rights reserved.$0
22$;from systems and tools to networks and infrastructures-from design to cultivation: towards a design theory of information infrastructures;the author argues in this chapter that the kind of it solutions we are developing today and in the years to come, which are integrating numbers of systems across organizational and geographical borders, in many respects are significantly different from and more complex than information systems of yesterday. to succeed with the establishment of such solutions new understandings and development approaches are needed. such new understandings, and approaches should be based on a perspective seeing such solutions as information infrastructures-not information systems. infrastructures evolve over long periods of time. new ones are designed as extensions and improvements of existing ones-not from scratch. therefore the new elements have to fit into the old regime. in this process the existing infrastructure, the installed base, influences heavily how the new elements can be designed. as the installed base grows its development and further growth become self-reinforcing. successful development of infrastructures requires, first, the creation of such a self-reinforcing process, second, managing its direction. strategies for creating and managing such processes are here called cultivation. gateways are important tools used in such cultivation processes. © 2010, igi global.$0
23$;risk, complexity and ict;'the book benefits from the contributions of the variety and experiences of its authors that provide depth, insight, rigorous argument and research. also contributing to the effectiveness of the book are the organization of the text and the clarity of its structure. . . i would highly recommend this book for both those who study the management of information systems, and for practitioners, who advise on and make decisions about information systems. the setting of the book in theory and the application of theoretical concepts in the cases, provide knowledge for study and practice as well as a teaching/learning methodology that supports the development of expertise.' - anna-may edwards-henry, international journal of education and development using ict. © ole hanseth and claudio ciborra, 2007. all rights reserved.$0
24$;infrastructural innovation and generative information infrastructures;this chapter addresses issues related to how to enable the broadest possible innovative activities by infrastructural technology design. the authors focus on the development of high-level services based on mobile telecommunication technologies that for matters of simplicity are termed the development of a mobile internet. the focus of the analysis is how features of the technology itself enable or constrain innovations. the authors do this by looking on a few embryos of the mobile internet (primarily the norwegian cpa platform, but also two pre-cpa platforms in norway and japan's i-mode) through the concepts of end-to-end architecture, programmability of terminals, and generativity. this analysis illustrates that the change from closed infrastructures like mobilinfo and smsinfo to more open ones like cpa and i-mode increased the speed and range of innovation substantially. at the same time, the differences between cpa and i-mode regarding programmability of terminals and the billing service provided by the cpa network enabling the billing of individual transactions also contributed to basically the same speed and range of innovations around cpa as i-mode in spite of the huge differences in investments into the networks made by the owners. however, the analysis also points out important differences between the internet and the existing mobile internet regarding technological constraints on innovations. it points out important ways in which powerful actors' strategies inhibit innovations, and how they embed their strategies into the technology and, accordingly, create technological barriers for innovation. © 2015, igi global.$0
25$;standardization work on personalized ehealth systems;for widespread adoption of ehealth, and to achieve elnclusion and eaccessibility, ehealth systems must be tailored to each individual user's needs and preferences. many ehealth products and services contain adjustable parameter settings, but they are specific to each product and unrelated to each other. this paper describes ongoing work to establish standards and guidelines for personalization of ehealth systems, taking into account the needs of all users, both clients and caregivers. the standard builds on a generic 'user profile', which stores data about the users, their preferences and their context. this profile can then be used by ehealth services and devices to ensure a user experience tailored to each person. the work surveys relevant areas of personalization, like identity management, profile management etc, addressing in depth those aspects of personalization that are specific to ehealth: user capabilities, care provider roles and functions, health related information, and confidentiality measures. ©2008 ieee.$1
26$;privacy enhancing technologies for information control;privacy enhancing technologies (pets) help to protect the personal information of users. this chapter will discuss challenges and opportunities of pets in a business context, and present examples of currently available pets. we will further study the platform for privacy preferences (p3p), and discuss why it so far has failed to deliver on its promise. finally, we provide our advice on further research on privacy preferences, and conclude with our conviction that businesses need to take a progressive stance on providing privacy to their customers. © 2012, igi global.$0
27$;analysis of free text in electronic health records for identification of cancer patient trajectories;with an aging patient population and increasing complexity in patient disease trajectories, physicians are often met with complex patient histories from which clinical decisions must be made. due to the increasing rate of adverse events and hospitals facing financial penalties for readmission, there has never been a greater need to enforce evidence-led medical decision-making using available health care data. in the present work, we studied a cohort of 7,741 patients, of whom 4,080 were diagnosed with cancer, surgically treated at a university hospital in the years 2004-2012. we have developed a methodology that allows disease trajectories of the cancer patients to be estimated from free text in electronic health records (ehrs). by using these disease trajectories, we predict 80% of patient events ahead in time. by control of confounders from 8326 quantified events, we identified 557 events that constitute high subsequent risks (risk > 20%), including six events for cancer and seven events for metastasis. we believe that the presented methodology and findings could be used to improve clinical decision support and personalize trajectories, thereby decreasing adverse events and optimizing cancer treatment.$1
28$;firepatch: secure and time-critical dissemination of software patches;because software security patches contain information about vulnerabilities, they can be reverse engineered into exploits. tools for doing this already exist. as a result, there is a race between hackers and end-users to obtain patches first. in this paper we present and evaluate firepatch, an intrusion-tolerant dissemination mechanism that combines encryption, replication, and sandboxing such that end-users are able to win the security patch race.$0
29$;connecting with ourselves and others online: psychological aspects of online health communication;in this chapter, we look at some fundamental aspects of communicating about ourselves and our health through technology. in particular, we examine how the social psychological theories of self-presentation and self-regulation might be applied to online health-communication. it is argued that the specific qualities of text-based communication might have unique benefits for health-communication through the interplay between the writing process and the concerns posed by health-issues. an understanding of how psychological processes are connected with online health communication is believed to be fundamental in understanding trends within self-help and user-driven health communication, and to predict possible outcomes of such behavior. also, this knowledge might inform the design and development of patient-centered solutions for health-communication and heath-service delivery. © 2009, igi global.$0
30$;helping patients in performing online video search: evaluating the importance of medical terminology extracted from mesh and icd-10 in health video title and description;huge amounts of health-related videos are available on the internet, and health consumers are increasingly searching for answers to their health problems and health concerns by availing themselves of web-based video sources. however, a critical factor in identifying relevant videos based on a textual query is the accuracy of the metadata with respect to video content. this chapter focuses on how reputable health videos providers, such as hospitals and health organizations, describe diabetes-related video content and the frequency with which they use standard terminology found in medical thesauri. in this study, we compared video title and description to medical terms extracted from the mesh and icd-10 vocabularies, respectively. we found that only a small number of videos were described using medical terms (4% of the videos included an exact icd-10 term; and 7% an exact mesh term). furthermore, of all those videos that used medical terms in their title/description, we found an astonishingly low variety of diabetes-related medical terms used. for example, the video titles and descriptions brought up only 2.4% of the icd-10 terms and 4.3% of mesh terms, respectively. these figures give one pause to think as to how many useful health videos are haplessly eluding online patient search because of the sparse use of appropriate terms in titles and descriptions. thus, no one would deny that including medical terms in video title and description is useful to patients who are searching for relevant health information. adopting good practices for titling and describing health-related videos may similarly help producers of youtube videos to identify and address the gaps in the delivery of informational resources that patients need to be able to monitor their own health. sadly, as the situation is now, neither patients nor producers of health videos are able to explore the collection of online materials in the same systematic manner as the medical professional explores medical domains using medline. why can we not have the same level of rigorous and systematic curating of patient-related health videos as we have for other medical content on the web?. © 2014 walter de gruyter inc., boston/berlin. all rights reserved.$1
31$;nurse leadership and informatics competencies: shaping transformation of professional practice;nurse leaders must demonstrate capacities and develop specific informatics competencies in order to provide meaningful leadership and support ongoing transformation of the healthcare system. concurrently, staff informatics competencies must be planned and fostered to support critical principles of transformation and patient safety in practice, advance evidence-informed practice, and enable nursing to flourish in complex digital environments across the healthcare continuum. in addition to nurse leader competencies, two key aspects of leadership and informatics competencies will be addressed in this chapter - namely, the transformation of health care and preparation of the nursing workforce.$0
32$;online social exergames for seniors: a pillar of gamification for clinical practice;the population is getting older, and the resources for care will be even more limited in the future than they are now. there is thus an aim for the society that the seniors can manage themselves as long as possible, while at the same time keeping a high quality of life. physical activity is important to stay fit, and social contact is important for the quality of life. the aim of this chapter is to provide a state-ofthe- art of online social exergames for seniors, providing glimpses of senior users' opinions and games limitations. the importance of the motivational techniques is emphasized, as well as the impact that the exergames have to seniors. it contributes to the book objectives focusing on current state and practice in health games for physical training and rehabilitation and the use of gamification, exploring future opportunities and uses of gamification in ehealth and discussing the respective challenges and limitations. © 2016 by igi global. all rights reserved.$1
